Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Battery","PinHeader_1x02_P2.54mm_Horizontal",175.750000,-85.250000,-90.000000,bottom
"J4","Speaker","PinHeader_1x02_P2.54mm_Horizontal",157.235000,-68.115000,-90.000000,bottom
"U4","MAX98357A","TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm",158.175000,-61.530000,-90.000000,bottom
"C1","C","C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",155.250000,-91.250000,0.000000,top
"C2","C","C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",155.250000,-94.800000,0.000000,top
"C3","C","C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",188.750000,-72.250000,90.000000,top
"C4","C","C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",180.700000,-82.000000,90.000000,top
"C5","C","C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",184.250000,-82.000000,90.000000,top
"J1","Oled conn","PinHeader_1x04_P2.54mm_Horizontal",159.865000,-80.190000,0.000000,top
"J3","INMP441","PinHeader_1x06_P2.54mm_Horizontal",151.385000,-69.100000,180.000000,top
"J6","MPU6050","PinHeader_1x08_P2.54mm_Horizontal",151.000000,-92.500000,180.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",196.450000,-64.180000,90.000000,top
"R1","R","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",188.750000,-67.310000,90.000000,top
"R2","R","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",175.150000,-73.130000,-90.000000,top
"R3","R","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",172.000000,-73.130000,-90.000000,top
"SW1","SW_MEC_5E","SW_MEC_5GSH9",194.440000,-87.750000,0.000000,top
"U1","BQ24074RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",180.500000,-74.437500,0.000000,top
"U2","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",174.250000,-62.850000,0.000000,top
"U3","AP2112K-3.3","SOT-23-5",185.112500,-74.800000,0.000000,top
