"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2, C3, C4, C5";"C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02";5;"C";;;
2;"J1";"PinHeader_1x04_P2.54mm_Horizontal";1;"Oled conn";;;
3;"J2";"PinHeader_1x02_P2.54mm_Horizontal";1;"Battery";;;
4;"J3";"PinHeader_1x06_P2.54mm_Horizontal";1;"INMP441";;;
5;"J4";"PinHeader_1x02_P2.54mm_Horizontal";1;"Speaker";;;
6;"J6";"PinHeader_1x08_P2.54mm_Horizontal";1;"MPU6050";;;
7;"P1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Plug_USB2.0";;;
8;"R1, R2, R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";3;"R";;;
9;"SW1";"SW_MEC_5GSH9";1;"SW_MEC_5E";;;
10;"U1";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24074RGT";;;
11;"U2";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
12;"U3";"SOT-23-5";1;"AP2112K-3.3";;;
13;"U4";"TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm";1;"MAX98357A";;;
